Rk,Team,FG,3P%,FTA 
1,PortlandTrailBlazers,3650,.289,2928 
2,LosAngelesLakers,3740,.367,2550 
3,DenverNuggets,3744,.271,2568 
4,DallasMavericks,3594,.354,2717 
5,SeattleSuperSonics,3593,.335,2571 
6,BostonCeltics,3645,.366,2153 
7,GoldenStateWarriors,3551,.319,2526 
8,DetroitPistons,3544,.231,2602 
9,PhoenixSuns,3575,.242,2499 
10,SacramentoKings,3522,.251,2479 
11,MilwaukeeBucks,3457,.323,2549 
12,AtlantaHawks,3435,.318,2661 
13,NewJerseyNets,3374,.323,2607 
14,SanAntonioSpurs,3532,.290,2292 
15,UtahJazz,3485,.310,2389 
16,HoustonRockets,3465,.275,2355 
17,Philadelphia76ers,3335,.259,2617 
18,IndianaPacers,3454,.297,2170 
19,WashingtonBullets,3356,.197,2531 
20,ChicagoBulls,3382,.261,2254 
21,LosAngelesClippers,3311,.224,2515 
22,ClevelandCavaliers,3349,.240,2554 
23,NewYorkKnicks,3329,.333,2362 
Rk,Team,FG,3P%,FTA 
1,DenverNuggets,3770,.342,2289 
2,PortlandTrailBlazers,3661,.308,2701 
3,BostonCeltics,3599,.384,2300 
4,SanAntonioSpurs,3706,.323,2412 
5,LosAngelesLakers,3576,.297,2480 
6,SeattleSuperSonics,3544,.346,2442 
7,DallasMavericks,3413,.293,2510 
8,DetroitPistons,3461,.287,2612 
9,HoustonRockets,3465,.237,2483 
10,UtahJazz,3484,.319,2404 
11,PhoenixSuns,3551,.331,2200 
12,SacramentoKings,3458,.320,2324 
13,AtlantaHawks,3443,.301,2441 
14,GoldenStateWarriors,3463,.292,2204 
15,MilwaukeeBucks,3366,.324,2364 
16,Philadelphia76ers,3214,.323,2731 
17,WashingtonBullets,3355,.210,2476 
18,NewYorkKnicks,3363,.316,2306 
19,ChicagoBulls,3434,.230,2221 
20,IndianaPacers,3436,.336,1982 
21,ClevelandCavaliers,3313,.378,2438 
22,NewJerseyNets,3208,.301,2308 
23,LosAngelesClippers,3190,.249,2305 
